Anbieter,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen
STAWAG Stadtwerke Aachen Aktiengesellschaft,6.80%,20.00%,7.40%,0.90%,52.90%,12.00%,100.00%,28.30%,14.44%,42.46%,15.71%,1.91%,25.48%,60.08%,173,0.0002,367.303609341826,https://www.stawag.de/fileadmin//stawag/content/Dokumente/Strom/Stromkennz_Strommix_STAWAG_85x152_171030.pdf,
Steingass Mineralöle GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.heizoel-steingass.de/site.php?PARENT=5a169458921a5,nicht aktuell 
Stern Strom GmbH,6.40%,30.50%,7.10%,1.20%,52.90%,1.80%,99.90%,38.80%,13.59%,64.76%,15.07%,2.55%,3.82%,82.38%,344,0.0002,730.36093418259,https://www.sternstrom.de/global/pdf/sternstrom/Strommix-2017-Stern-Strom-GmbH.pdf,
STIEBEL ELTRON UmweltStromPlus - in Kooperation mit der Digital Energy Solutions GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.umweltstrom.plus/,
stm Stadtwerke Meerbusch GmbH,8.50%,30.70%,5.70%,0.70%,52.90%,1.50%,100.00%,37.10%,18.05%,65.18%,12.10%,1.49%,3.18%,78.77%,341,0.0002,723.991507430998,https://stadtwerke-meerbusch.de/wp-content/uploads/sites/5/2018/11/STM-Stromkennzeichnung-2017-Stand-01.11.2018.pdf,
strasserauf - eine Marke der Energieversorgung Oberhausen AG,7.70%,27.50%,8.10%,0.60%,52.90%,3.20%,100.00%,36.20%,16.35%,58.39%,17.20%,1.27%,6.79%,76.86%,319,0.0002,677.282377919321,https://www.strasserauf.de/produkte/strom.html,
STROGON GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://strogon.de/,nicht vorhanden
Strom Germering GmbH,17.80%,22.30%,5.80%,1.00%,53.00%,0.10%,100.00%,29.10%,37.87%,47.45%,12.34%,2.13%,0.21%,61.91%,245,0.0005,521.276595744681,https://strom-germering.de/strom-fuer-germering/strom-mix/,
Strom- und Gasversorgung Versmold GmbH,3.60%,13.30%,3.90%,0.60%,52.90%,25.60%,99.90%,17.80%,7.64%,28.24%,8.28%,1.27%,54.35%,37.79%,145,0.0001,307.855626326964,https://www.stadtwerke-versmold.de/fileadmin/user_upload/swv/service/veroeffentlichungen/Stromkennzeichnung_SWV.pdf,
Strom von Föhr Vertriebs-GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.strom-von-foehr.de/,nicht aktuell
Strom.Manufaktur - eine Marke der DREWAG - Stadtwerke Dresden GmbH,4.80%,16.10%,26.00%,0.80%,45.50%,6.80%,100.00%,42.90%,8.81%,29.54%,47.71%,1.47%,12.48%,78.72%,293,0.0001,537.614678899083,https://www.strommanufaktur.net/unser-produkt/oekostrom.html,
Stromio GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stromio.de/stromkennzeichnung.html,nicht aktuell
Stromversorgung Angermünde GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.sw-angermuende.de/stromkennzeichnung.html,FEHLER mit EEG
Stromversorgung der Gemeinde Hemhofen,16.80%,20.60%,5.30%,0.90%,52.90%,3.50%,100.00%,26.80%,35.67%,43.74%,11.25%,1.91%,7.43%,56.90%,226,0.0005,479.830148619958,https://www.hemhofen.de/fileadmin/Dateien/Stromversorgung/Pflichtangaben/Energiemix_2017_2019_Hemhofen.pdf,
Stromversorgung Greding eG,9.40%,25.70%,9.80%,1.00%,52.90%,1.20%,100.00%,36.50%,19.96%,54.56%,20.81%,2.12%,2.55%,77.49%,292,0.0003,619.957537154989,https://www.raiba-gretha.de/content/dam/f0637-0/SVG/Gesetze_Verordnungen/Kennzeichnung_2017.pdf,
Stromversorgung Greifswald GmbH,6.10%,27.00%,10.10%,0.60%,52.90%,3.30%,100.00%,37.70%,12.95%,57.32%,21.44%,1.27%,7.01%,80.04%,308,0.0002,653.927813163482,https://www.sw-greifswald.de/Energie/Strom/Service/Stromkennzeichnung,
Stromversorgung Inzell eG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stromversorgung-inzell.de/index.php/de/home/100-wasserkraft,
Stromversorgung Markt Egloffstein,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.egloffstein.de/seite/de/markt/664/-/Vertrieb.html,nicht aktuell
Stromversorgung Neunkirchen GmbH,9.28%,23.65%,8.89%,1.40%,52.94%,3.84%,100.00%,33.94%,19.72%,50.25%,18.89%,2.97%,8.16%,72.12%,280,0.0003,594.985125371866,http://www.stwl.lauf.de/laufGips/StWL/stwl.lauf.de/Strom/Service/gesetzliche-Veroeffentlichungen/gesetzliche-Veroeffentlichungen/StWL-Berechnungstool-Strommix-2017.pdf#search=stromkennzeichnung,
Stromversorgung Ruhpolding GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.strom-ruhpolding.de/strom/grundversorgung.html,FEHLER fehlerhafte Kennzeichnung
Stromversorgung Schierling eG,6.20%,29.70%,6.90%,1.20%,52.90%,3.10%,100.00%,37.80%,13.16%,63.06%,14.65%,2.55%,6.58%,80.25%,335,0.0002,711.252653927813,http://www.schierling-strom.de/pdf/mix2017.jpg,
Stromversorgung Seebruck eG,6.30%,29.80%,7.00%,1.20%,52.90%,2.80%,100.00%,38.00%,13.38%,63.27%,14.86%,2.55%,5.94%,80.68%,337,0.0002,715.498938428875,http://www.chiemsee-strom.de/Portals/Stammportal/Dokumente/Stromkennzeichnung%202017.pdf,
Stromversorgung Sulz GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stromversorgung-sulz.de/service_energietraegermix.htm,nicht aktuell
Stromversorgung Unterwössen Döllerer & Greimel GmbH,8.70%,26.60%,10.00%,1.60%,52.90%,1.90%,101.70%,38.20%,18.47%,56.48%,21.23%,3.40%,4.03%,81.10%,312,0.0002,662.420382165605,https://static.ew-unterwoessen.de/files/vertrieb/2017/Stromkennzeichnung_2017.pdf,FEHLER Überschuss
Stromversorgung Zerbst GmbH & Co. KG,11.60%,31.90%,17.90%,7.70%,30.90%,0.00%,100.00%,57.50%,16.79%,46.16%,25.90%,11.14%,0.00%,83.21%,370,0.0003,535.455861070912,https://www.stadtwerke-zerbst.de/svz/wp-content/uploads/2018/11/2018-11_Serviceinfo_SVZ_web.pdf,
strotög GmbH Strom für Töging,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.strotoeg.de/kontakt/veroeffentlichung.php,nicht aktuell
stuttgartENERGIE - Eine Marke der Stadtwerke Stuttgart Vertriebsgesellschaft mbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://stadtwerke-stuttgart.de/produkte/oekostrom/,
StWL Städtische Werke Lauf a.d. Pegnitz GmbH,9.28%,23.65%,8.89%,1.40%,52.94%,3.84%,100.00%,33.94%,19.72%,50.25%,18.89%,2.97%,8.16%,72.12%,280,0.0003,594.985125371866,http://www.stwl.lauf.de/laufGips/StWL/stwl.lauf.de/Strom/Service/gesetzliche-Veroeffentlichungen/gesetzliche-Veroeffentlichungen/StWL-Berechnungstool-Strommix-2017.pdf#search=stromkennzeichnung,
SÜC Energie und H2O GmbH,9.90%,19.20%,9.10%,1.00%,52.90%,7.90%,100.00%,29.30%,21.02%,40.76%,19.32%,2.12%,16.77%,62.21%,227,0.0003,481.953290870488,https://www.suec.de/coburgGips/SUEC/suec.de/Service/Haeufige-Fragen/Haeufige-Fragen/Stromkennzeichen-11-2018.pdf#search=stromkennzeichnung%20-%20stand:%20nov.%202018,
SUEnergie GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.suenergie.com/main/home.html,nicht vorhanden
susiEnergie GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.susi-energie.de/oekostrom-kennzeichnung,
Süwag Vertrieb AG & Co. KG,9.30%,32.20%,2.80%,0.30%,48.50%,6.90%,100.00%,35.30%,18.06%,62.52%,5.44%,0.58%,13.40%,68.54%,345,0.0002,669.902912621359,"https://www.suewag.de/privatkunden/rechtliches/stromkennzeichnung  https://produktwelt.suewag.de/
77,6 % der Anteile werden von Innogy SE gehalten; der Rest des Kapitals ist in der Hand von 15 kommunalen Eigentümern sowie freien Aktionären.",
SVH Stromversorgung Haar GmbH,0.80%,2.00%,0.60%,0.10%,52.90%,43.60%,100.00%,2.70%,1.70%,4.25%,1.27%,0.21%,92.57%,5.73%,23,0.0000,48.8322717622081,https://www.haar24.com/privatkunden/strom/stromkennzeichnung,
SVI - Stromversorgung Ismaning GmbH,9.00%,11.00%,10.10%,0.50%,52.90%,16.50%,100.00%,21.60%,19.11%,23.35%,21.44%,1.06%,35.03%,45.86%,150,0.0002,318.471337579618,https://stromversorgung-ismaning.de/wp-content/uploads/Stromkennzeichnung_2017.pdf,
SVO Vertrieb GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.svo.de/privatkunden/service/musterrechnung/energie-mix/,nicht aktuell
SVS-Versorgungsbetriebe GmbH,9.40%,33.40%,3.40%,0.40%,51.50%,1.90%,100.00%,37.20%,19.38%,68.87%,7.01%,0.82%,3.92%,76.70%,380,0.0003,783.505154639175,https://www.svs-versorgung.de/de/strom/Preise_und_Tarife/strom_preise_tarife2008.html,
SWB Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,1.10%,3.40%,19.60%,3.70%,49.60%,22.60%,100.00%,26.70%,2.18%,6.75%,38.89%,7.34%,44.84%,52.98%,109,0.0000,216.269841269841,https://www.stadtwerke-bonn.de/fileadmin/strom/stromkennzeichnung/Stromkennzeichnung.pdf,
SWB Stadtwerke Biedenkopf GmbH,6.80%,28.30%,10.00%,1.90%,52.90%,0.00%,99.90%,40.20%,14.44%,60.08%,21.23%,4.03%,0.00%,85.35%,328,0.0002,696.390658174098,https://www.stadtwerke-biedenkopf.de/stadtwerke-wAssets/docs/strom/rechnungserklaerung/Stromkennzeichnung-2017.pdf,
swb Vertrieb Bremen GmbH,6.00%,22.30%,6.60%,1.10%,52.00%,11.90%,99.90%,30.00%,12.50%,46.46%,13.75%,2.29%,24.79%,62.50%,244,0.0002,508.333333333333,https://www.swb.de/-/media/files/strom/stromkennzeichnung-hb.pdf,
swb Vertrieb Bremerhaven GmbH & Co. KG,7.10%,26.50%,7.90%,1.30%,52.70%,4.60%,100.10%,35.70%,15.01%,56.03%,16.70%,2.75%,9.73%,75.48%,291,0.0002,615.221987315011,https://www.swb.de/-/media/files/strom/stromkennzeichnung-bhv.pdf,
SWE Energie GmbH,2.70%,8.80%,33.90%,1.30%,49.40%,3.90%,100.00%,44.00%,5.34%,17.39%,67.00%,2.57%,7.71%,86.96%,175,0.0001,345.849802371541,https://www.stadtwerke-erfurt.de/pb/swe/produkte+_+leistungen/energie+_+wasser/stromkennzeichnung,
switch green - in Kooperation mit der LichtBlick SE,0.00%,0.00%,0.00%,0.00%,53.00%,47.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.lichtblick.de/privatkunden/oekostrom/stromkennzeichnung/,
SWK Energie GmbH,6.00%,21.70%,4.12%,4.54%,51.63%,12.00%,99.99%,30.36%,12.40%,44.86%,8.52%,9.39%,24.81%,62.77%,269,0.0002,556.129832540831,https://www.swk.de/privatkunden/energie/strom/strommix-der-swk.html,
SWK Stadtwerke Kaiserslautern Versorgungs AG,7.10%,26.60%,12.30%,1.00%,52.90%,0.10%,100.00%,39.90%,15.07%,56.48%,26.11%,2.12%,0.21%,84.71%,295,0.0002,626.326963906582,https://www.swk-kl.de/de/privatkunden/produkte-leistungen/strom/energietraegermix.html,
SWM Versorgungs GmbH,4.00%,12.00%,12.00%,1.00%,48.00%,23.00%,100.00%,25.00%,7.69%,23.08%,23.08%,1.92%,44.23%,48.08%,168,0.0001,323.076923076923,https://www.swm.de/dam/swm/dokumente/m-strom/stromkennzeichnung.pdf,
SWN Stadtwerke Neumünster GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-neumuenster.de/energie/strom/allgemeines-zu-swn-strom/,nicht aktuell
SWN Stadtwerke Neustadt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://swn-nec.de/,nicht vorhanden
SWN Stadtwerke Northeim GmbH,5.50%,17.10%,5.90%,0.90%,52.90%,17.60%,99.90%,23.90%,11.68%,36.31%,12.53%,1.91%,37.37%,50.74%,201,0.0001,426.751592356688,https://www.stadtwerke-northeim.de/strom/stromkennzeichnung/,
SWP Stadtwerke Pforzheim GmbH & Co. KG,7.70%,19.20%,3.60%,0.80%,49.40%,19.30%,100.00%,23.60%,15.22%,37.94%,7.11%,1.58%,38.14%,46.64%,142,0.0002,280.632411067194,https://www.stadtwerke-pforzheim.de/download/netznutzer/strom/stromkennzeichnung_swp_okt_2017.pdf,
SWR Energie GmbH & Co. KG,15.10%,20.90%,6.00%,1.00%,52.90%,4.00%,99.90%,27.90%,32.06%,44.37%,12.74%,2.12%,8.49%,59.24%,234,0.0004,496.815286624204,https://www.stadtwerke-roedental.de/images/pdfs/strom/Stromkennzeichnung_2017.pdf,
SWS Stadtwerke Stralsund GmbH,8.00%,21.70%,13.30%,0.80%,52.90%,3.30%,100.00%,35.80%,16.99%,46.07%,28.24%,1.70%,7.01%,76.01%,256,0.0002,543.524416135881,https://www.stadtwerke-stralsund.de/media/download/sws-energie-gmbh/sws_zusatzinfo_291018.pdf,
SWT Stadtwerke Trier Versorgungs-GmbH,6.80%,23.10%,3.10%,0.40%,49.60%,17.00%,100.00%,26.60%,13.49%,45.83%,6.15%,0.79%,33.73%,52.78%,209,0.0002,414.68253968254,https://www.swt.de/swt/Integrale?SID=13D6337C7EFEA332558E4D0385AB869A&ACTION=ViewMediaObject&MODULE=Frontend.Media&Media.Object.ObjectType=full&Media.PK=3174,
SWU Energie GmbH,2.60%,39.30%,2.60%,0.60%,47.30%,5.50%,97.90%,42.50%,4.93%,74.57%,4.93%,1.14%,10.44%,80.65%,428,0.0001,812.144212523719,https://www.swu.de/fileadmin/content/energie-wasser/strom/SWU-Strommix.pdf,FEHLER keine 100 Proent
SWV Regional GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.swv-regional.de/fileadmin/user_upload/swv-r/service/Stromkennzeichnung_SWVR.pdf,
SWW Wunsiedel GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.s-w-w.com/strom/vertrieb.html#c1186,nicht aktuell
TauberEnergie Kuhn,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.tauberenergie-kuhn.de/index.php,nicht vorhanden
team energie GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,53.00%,47.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://teamstrom.de/Strom/Strom_Produkte,
Technische Werke der Gemeinde Losheim GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.twl-losheim.de/,nicht vorhanden
Technische Werke Ludwigshafen AG,9.20%,26.90%,5.20%,3.00%,48.80%,6.90%,100.00%,35.10%,17.97%,52.54%,10.16%,5.86%,13.48%,68.55%,290,0.0002,566.40625,http://www.twl.de/de/Privatkunden/Strom/Stromkennzeichnung/Stromzusammensetzung/Stromkennzeichnung.pdf,
Technische Werke Naumburg GmbH,8.77%,30.76%,7.12%,0.51%,52.52%,0.33%,100.01%,38.39%,18.47%,64.79%,15.00%,1.07%,0.70%,80.86%,347,0.0002,730.834035383319,https://www.twn-naumburg.de/fileadmin/user_upload/Strom_Privatkunden/Informationen/TW_Naumburg_Strom_2017_Stromzusammensetzung_Seite_1.pdf,
Technische Werke Osning GmbH,4.10%,5.00%,1.70%,0.20%,52.90%,36.10%,100.00%,6.90%,8.70%,10.62%,3.61%,0.42%,76.65%,14.65%,56,0.0001,118.895966029724,https://www.two.de/wp-content/uploads/sites/5/2018/12/Stromkennzeichnung_Stromlieferung_2017.pdf,
Technische Werke Schussental GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,48.90%,51.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.tws.de/de/Strom/Stromkennzeichnung/,
Teckwerke Bürgerenergie eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://teckwerke.de/teckstrom/stromherkunft,nicht aktuell
Teutoburger Energie Netzwerk eG,10.20%,20.90%,4.20%,0.60%,51.10%,13.00%,100.00%,25.70%,20.86%,42.74%,8.59%,1.23%,26.58%,52.56%,200,0.0003,408.997955010225,https://www.ten-eg.de/privatkunden/strom/stromkennzeichnung,
Thüga Energie GmbH,4.80%,14.70%,3.70%,0.60%,50.80%,25.40%,100.00%,19.00%,9.76%,29.88%,7.52%,1.22%,51.63%,38.62%,166,0.0001,337.39837398374,https://inciti.net/data/department/3/strom_kennzeichnung.pdf,
Thüringer Energie AG,6.00%,26.00%,9.30%,0.90%,45.50%,12.30%,100.00%,36.20%,11.01%,47.71%,17.06%,1.65%,22.57%,66.42%,301,0.0002,552.293577981651,https://www.thueringerenergie.de/Ueber_uns/Mediathek/Veroeffentlichungspflichten/Stromkennzeichnung,
TOTAL Energie Gas GmbH,0.80%,2.41%,0.65%,0.15%,50.82%,45.17%,100.00%,3.21%,1.63%,4.90%,1.32%,0.31%,91.85%,6.53%,28,0.0000,56.9337128914193,http://www.gas-strom.total.de/stromkennzeichnung,
Turbine - eine Marke der Städtischen Werke Magdeburg GmbH & Co. KG,7.80%,21.40%,5.00%,5.20%,47.70%,12.90%,100.00%,31.60%,14.91%,40.92%,9.56%,9.94%,24.67%,60.42%,229,0.0002,437.858508604207,https://www.turbine-energie.de/wp-content/uploads/2018/11/2018-11_serviceinfo_turbine_web.pdf,
TWH - Technische Werke Herbrechtingen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.twh-gmbh.de/strom/strommix/,nicht aktuell
TWS Technische Werke der Gemeinde Saarwellingen GmbH,9.40%,32.30%,3.40%,0.60%,52.90%,1.40%,100.00%,36.30%,19.96%,68.58%,7.22%,1.27%,2.97%,77.07%,349,0.0003,740.976645435244,https://www.tws-saarwellingen.de/fileadmin/_processed_/8/d/csm_Stromkennzeichnung_TWS_2017_3442de89e0.jpg,
Überlandwerk Eppler GmbH,7.70%,36.70%,8.60%,1.40%,45.30%,0.30%,100.00%,46.70%,14.08%,67.09%,15.72%,2.56%,0.55%,85.37%,415,0.0002,758.683729433272,http://www.ueberlandwerk.de/download/Strommix_aus_Daten_2017.pdf,
Überlandwerk Erding GmbH & Co. KG,8.80%,26.70%,9.90%,1.60%,51.80%,1.20%,100.00%,38.20%,18.26%,55.39%,20.54%,3.32%,2.49%,79.25%,312,0.0002,647.302904564315,https://www.stadtwerke-erding.de/de/Strom/Rechtliches-Veroeffentlichungspflichten/,
Überlandwerk Krumbach GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.uewk.de/privatkunden/energieloesungen,nicht aktuell
Überlandwerk Leinetal GmbH,5.00%,6.00%,2.00%,0.00%,53.00%,35.00%,101.00%,8.00%,10.64%,12.77%,4.26%,0.00%,74.47%,17.02%,63,0.0001,134.042553191489,https://www.uewl.de/strom/stromkennzeichnung.html,
Überlandwerk Rhön GmbH,7.00%,30.00%,7.00%,1.00%,53.00%,2.00%,100.00%,38.00%,14.89%,63.83%,14.89%,2.13%,4.26%,80.85%,326,0.0002,693.617021276596,https://www.uew-rhoen.de/de/Strom/Informationen/Stromkennzeichnung/Stromkennzeichnung/Bilanzierung-Stromkennzeichnung-2017-Stromrechnung-I.pdf,
Überlandwerk Schäftersheim GmbH & Co. KG,8.40%,24.90%,9.70%,1.50%,52.90%,2.60%,100.00%,36.10%,17.83%,52.87%,20.59%,3.18%,5.52%,76.65%,296,0.0002,628.450106157113,https://www.uews.de/privat-gewerbekunden/produkte/strom/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zifT2dDQyd_A18_d0DDQ0CnS1CHJ1NTY2NLI31w9EUhIa5GQR6-wZbWgQ6exr7GehHEaPfAAU4GjgFGTkZGxi4-xuRox_ZJOL041EQhd_4cP0ovFYEG2IoQAkiLwMj_ArAYYjFFaiBRMiZBbmhoaERBpmemY6KADr-cZo!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,
ubitricity Gesellschaft für verteilte Energiesysteme mbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.ubitricity.com/,nicht vorhanden
Unterfränkische Überlandzentrale Lülsfeld eG,3.50%,15.40%,2.80%,0.40%,52.90%,24.80%,99.80%,18.60%,7.43%,32.70%,5.94%,0.85%,52.65%,39.49%,171,0.0001,363.057324840764,https://www.uez.de/downloads/Preisblatt_2019_UeZ-Mix_0.pdf,
ÜZW Energie AG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.uez.de/Service_Downloadcenter.html,nicht aktuell
Vattenfall Europe Sales GmbH,0.60%,19.20%,19.30%,1.40%,52.90%,6.60%,100.00%,39.90%,1.27%,40.76%,40.98%,2.97%,14.01%,84.71%,279,0.0000,592.781316348195,https://www.vattenfall.de/de/strom-easy24.htm?consumption=4000&zip=21129&city=Hamburg&street=&hno=,
Ver- und Entsorgungsgesellschaft mbH Sersheim,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358,0.0002,760.084925690021,https://www.ves-sersheim.de/uploads/media/stromkennzeichnung_2017.pdf,
Verbands- und Gemeindewerke Rülzheim,4.70%,15.60%,26.10%,0.60%,52.90%,0.10%,100.00%,42.30%,9.98%,33.12%,55.41%,1.27%,0.21%,89.81%,289,0.0001,613.588110403397,https://www.gemeindewerke-ruelzheim.de/xxximg/imgnews/energietraegermix2018.gif,
Verbandsgemeinde Weilerbach Elektrizitätsversorgung,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.evu-weilerbach.de/tarife-gebuehren/stromkennzeichnung/index.html,nicht aktuell
Verbandsgemeindewerk Bruchmühlbach-Miesau,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.bruchmuehlbach-miesau.de/vg_bruchmuehlbach_miesau/Ver-%20&%20Entsorgung/Strom/Privatkunden/Stromkennzeichnung%20-%20Information%20%C3%BCber%20die%20Stromherkunft/,nicht aktuell
Verbandsgemeindewerk Dannstadt-Schauernheim,8.60%,28.70%,8.50%,1.30%,52.90%,0.00%,100.00%,38.50%,18.26%,60.93%,18.05%,2.76%,0.00%,81.74%,324,0.0002,687.898089171975,http://www.vg-werk-dannstadt-schauernheim.de/PDF/Energietr%C3%A4germix%202017.pdf,
Verbandsgemeindewerke Dahner Felsenland,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.werke-dahner-felsenland.de/63-0-Stromkennzeichnung.html,nicht aktuell
Verbandsgemeindewerke Enkenbach-Alsenborn,8.20%,27.10%,10.50%,1.20%,52.90%,0.10%,100.00%,38.80%,17.41%,57.54%,22.29%,2.55%,0.21%,82.38%,311,0.0002,660.297239915074,http://www.werke-enkenbach-alsenborn.de/usr/upload/Stromkennzeichnung.2017.GW.pdf,
Vereinigte Gas- und Wasserversorgung GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.vgw-gmbh.de/strom/allgemeine-hinweise/stromkennzeichnung/,
Vereinigte Stadtwerke GmbH,6.43%,25.94%,5.19%,0.65%,53.90%,7.90%,100.01%,31.78%,13.95%,56.27%,11.26%,1.41%,17.14%,68.94%,283,0.0004,613.882863340564,https://www.vereinigte-stadtwerke.de/privatkunden/strom/strom-informationen/stromzusammensetzung,
Vereinigte Wertach-Elektrizitätswerke GmbH,7.90%,24.20%,9.10%,1.50%,51.90%,5.40%,100.00%,34.80%,16.42%,50.31%,18.92%,3.12%,11.23%,72.35%,284,0.0002,590.43659043659,https://www.vwew-energie.de/322.html,
Versorgungsbetrieb Waldbüttelbrunn GmbH,6.00%,7.40%,1.90%,0.30%,52.90%,31.40%,99.90%,9.60%,12.74%,15.71%,4.03%,0.64%,66.67%,20.38%,81,0.0002,171.974522292994,https://www.vwg-energie.de/strom/infothek/energiemix/,
Versorgungsbetriebe Bordesholm GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.vb-bordesholm.de/,nicht aktuell
Versorgungsbetriebe Elbe GmbH,8.30%,25.33%,9.26%,1.25%,52.61%,3.25%,100.00%,35.84%,17.51%,53.45%,19.54%,2.64%,6.86%,75.63%,300,0.0002,633.04494619118,https://www.versorgungsbetriebe-elbe.de/unsere-stromzusammensetzung.html,
Versorgungsbetriebe Hann. Münden GmbH,3.60%,11.10%,3.50%,0.60%,51.00%,30.20%,100.00%,15.20%,7.35%,22.65%,7.14%,1.22%,61.63%,31.02%,129,0.0001,263.265306122449,https://www.versorgungsbetriebe.de/de/Energie-und-Wasser/Strom/Stromkennzeichnung/Stromkennzeichnung/2017-Stromkennzeichnung-Allgemein.pdf,
Versorgungsbetriebe Hoyerswerda GmbH,7.20%,22.80%,6.00%,0.90%,52.90%,10.20%,100.00%,29.70%,15.29%,48.41%,12.74%,1.91%,21.66%,63.06%,257,0.0002,545.647558386412,https://www.vbh-hoy.de/Files/rte/file/Strom_Netz/Stromkennzeichnung%202017_VBH_Homepage_Stand_2018-10-18.pdf,
Versorgungsbetriebe Kronshagen GmbH,7.80%,21.60%,10.90%,1.30%,52.90%,5.50%,100.00%,33.80%,16.56%,45.86%,23.14%,2.76%,11.68%,71.76%,260,0.0002,552.016985138004,https://www.vbk-kronshagen.de/stromprodukte/informationen/strommix/,
